date,keyword,ticker count
20220118,underwriting,"[('GSBD', 1)]"
20220118,fighter,"[('GS', 1), ('XOM', 1)]"
20220118,resiliency,"[('SQ', 1), ('JPM', 1), ('JPM-PK', 1), ('JPM-PL', 1), ('JPM-PM', 1)]"
20220118,induction,"[('GILD', 1)]"
20220118,match,"[('MSFT', 1), ('ALEX', 1), ('EA', 1), ('GS', 1), ('ATVI', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('ZNGA', 1), ('SNEJF', 1), ('SONY', 1), ('TTWO', 1)]"
20220118,waitlist,"[('MA', 1), ('COIN', 1)]"
20220118,ABM_Industries,"[('BLNK', 2), ('GM', 2), ('ABM', 1)]"
20220118,Eswatini,"[('KO', 1)]"
20220118,Jay_Vleeschhouwer,"[('CDNS', 2), ('TSLA', 2)]"
20220118,conglomerate,"[('AMZN', 1), ('KO', 1), ('PEP', 1), ('WMT', 1)]"
20220118,readjustment,"[('BLK', 1)]"
20220118,Fort_Hills,"[('SU', 1)]"
20220118,concept,"[('SNEJF', 2), ('SONY', 2), ('AAPL', 2), ('FB', 2), ('AMZN', 2), ('ATVI', 2), ('GOOG', 2), ('GOOGL', 2), ('NLOK', 2), ('TCEHY', 2), ('TCTZF', 2), ('MSFT', 2), ('PINS', 1), ('XRSMF', 1), ('ZNGA', 1), ('TTWO', 1), ('NUAN', 1), ('ALEX', 1), ('EA', 1)]"
20220118,website,"[('BLK', 1), ('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,Goldman_Chief,"[('GSBD', 1)]"
20220118,App,"[('SQ', 1), ('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,bill,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,good,"[('MA', 1), ('COIN', 1), ('GSK', 1), ('UL', 1)]"
20220118,incident,"[('SU', 1), ('LUV', 1)]"
20220118,Michelle_Gass,"[('EPGNF', 1), ('M', 1), ('PDVAX', 1), ('PDAAX', 1), ('PDICX', 1), ('PDIIX', 1), ('PDNIX', 1), ('PDVBX', 1), ('PDVDX', 1), ('PDVPX', 1), ('WMT', 1), ('NKE', 1), ('BBY', 1), ('DKS', 1), ('UA', 1), ('UAA', 1)]"
20220118,senator,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,AZ_Quest,"[('MELI', 1)]"
20220118,part,"[('STLA.MI', 1), ('SU', 1), ('C', 1)]"
20220118,rear,"[('SU', 1)]"
20220118,crop,"[('ULCC', 1), ('XMTR', 1), ('AKA', 1), ('FWRG', 1), ('CNVY', 1), ('VECT', 1), ('PATH', 1), ('NRDS', 1), ('MLNK', 1), ('IPO', 1), ('DTC', 1), ('PRCT', 1), ('OMIC', 1), ('NVEI', 1), ('ESMT', 1), ('FDMT', 1), ('BHG', 1)]"
